time,id,text,isRetweet,isDeleted,device,favorites,retweets,isFlagged
2017-10-10 10:30:00,9.17699e+17,"Since Congress can't get its act together on HealthCare, I will be using the power of the pen to give great HealthCare to many people - FAST",f,f,Twitter for iPhone,83555,17638,f
2017-10-10 10:42:00,9.17702e+17,"""With Jemele Hill at the mike, it is no wonder ESPN ratings have """"tanked,"""" in fact, tanked so badly it is the talk of the industry!""",f,f,Twitter for iPhone,79742,15577,f
2017-10-10 12:13:00,9.17725e+17,"""Highly respected author, Christopher Bedford, just came out with book, """"The Art of the Donald, Lessons from America's...."""" Really good book!""",f,f,Twitter for iPhone,48805,8974,f
2017-10-10 12:50:00,9.17734e+17,"The Failing nytimes set Liddle' Bob Corker up by recording his conversation. Was made to sound a fool, and that's what I am dealing with!",f,f,Twitter for iPhone,51433,11306,f
2017-10-10 13:34:00,9.17745e+17, IsraelUSAforevr: realDonaldTrump  ,t,f,Twitter for iPhone,0,14871,f
2017-10-10 01:51:00,9.17568e+17,"""A big salute to Jerry Jones, owner of the Dallas Cowboys, who will BENCH players who disrespect our Flag.""""Stand for Anthem or sit for game!""""""",f,f,Twitter for iPhone,141986,27494,f
2017-10-10 23:29:00,9.17895e+17,My great honor to host the 2017 back-to-back StanleyCup Champion Pittsburgh Penguins at the WH with FLOTUS today! ,f,f,Twitter for iPhone,55579,11089,f
2017-10-10 02:30:00,9.17578e+17,We have just begun! ,f,t,Twitter for iPhone,1787,474,f
2017-10-10 02:31:00,9.17578e+17, IvankaTrump: .realDonaldTrump stock market rally is close to becoming the greatest in 85 years ,t,f,Twitter for iPhone,0,13202,f
2017-10-11 10:21:00,9.18059e+17,"Stock Market has increased by 5.2 Trillion dollars since the election on November 8th, a 25% increase. Lowest unemployment in 16 years and..",f,f,Twitter for iPhone,67279,14352,f
2017-10-11 10:26:00,9.1806e+17,"...if Congress gives us the massive tax cuts (and reform) I am asking for, those numbers will grow by leaps and bounds. MAGA",f,f,Twitter for iPhone,46189,8752,f
2017-10-11 10:31:00,9.18061e+17,It would be really nice if the Fake News Media would report the virtually unprecedented Stock Market growth since the election.Need tax cuts,f,f,Twitter for iPhone,62324,12026,f
2017-10-11 10:36:00,9.18063e+17,"The Democrats want MASSIVE tax increases &amp, soft, crime producing borders.The Republicans want the biggest tax cut in history &amp, the WALL!",f,f,Twitter for iPhone,70836,15166,f
2017-10-11 10:47:00,9.18065e+17,It is about time that Roger Goodell of the NFL is finally demanding that all players STAND for our great National Anthem-RESPECT OUR COUNTRY,f,f,Twitter for iPhone,89440,16132,f
2017-10-11 13:45:00,9.1811e+17,"""Fake NBCNews made up a story that I wanted a """"tenfold"""" increase in our U.S. nuclear arsenal. Pure fiction, made up to demean. NBC = CNN!""",f,f,Twitter for iPhone,60920,14680,f
2017-10-11 13:55:00,9.18113e+17,"With all of the Fake News coming out of NBC and the Networks, at what point is it appropriate to challenge their License? Bad for country!",f,f,Twitter for iPhone,82360,17903,f
